NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,BOLSA,FECHA
30.0,1236,1,11,15,32,36,39,27.0,5100000.0,23/07/2022
30.0,1235,4,7,12,23,26,37,38.0,5000000.0,19/07/2022
30.0,1234,1,7,10,23,33,38,15.0,9300000.0,16/07/2022
30.0,1233,5,13,23,26,27,30,22.0,8000000.0,12/07/2022
30.0,1232,5,6,14,21,23,25,33.0,6700000.0,09/07/2022
30.0,1231,8,10,28,30,35,37,22.0,5300000.0,05/07/2022
30.0,1230,13,18,20,23,29,37,22.0,5200000.0,02/07/2022
30.0,1229,1,4,15,20,33,39,13.0,5100000.0,28/06/2022
30.0,1228,5,9,16,17,32,33,15.0,5000000.0,25/06/2022
30.0,1227,6,7,9,12,31,39,38.0,6700000.0,21/06/2022
30.0,1226,23,26,34,35,37,39,13.0,5300000.0,18/06/2022
30.0,1225,3,11,14,26,29,37,30.0,5200000.0,14/06/2022
30.0,1224,3,6,9,14,21,26,4.0,5100000.0,11/06/2022
30.0,1223,9,22,23,26,27,30,20.0,5000000.0,07/06/2022
30.0,1222,4,8,17,19,22,38,35.0,21000000.0,04/06/2022
30.0,1221,16,18,25,28,29,31,26.0,19000000.0,31/05/2022
30.0,1220,7,10,17,18,29,32,21.0,17300000.0,28/05/2022
30.0,1219,4,12,17,18,25,26,27.0,15500000.0,24/05/2022
30.0,1218,3,10,17,25,31,36,37.0,13700000.0,21/05/2022
30.0,1217,2,11,13,20,23,29,26.0,12000000.0,17/05/2022
30.0,1216,18,26,27,28,29,31,17.0,10500000.0,14/05/2022
30.0,1215,17,18,19,30,31,38,10.0,9000000.0,10/05/2022
30.0,1214,6,8,9,13,27,37,19.0,7700000.0,07/05/2022
30.0,1213,9,21,23,25,33,36,39.0,6300000.0,03/05/2022
30.0,1212,5,9,15,20,30,37,18.0,5300000.0,30/04/2022
30.0,1211,8,11,13,17,30,32,16.0,5200000.0,26/04/2022
30.0,1210,4,14,21,23,27,32,26.0,5100000.0,23/04/2022
30.0,1209,6,8,22,26,34,38,24.0,5000000.0,19/04/2022
30.0,1208,4,6,21,24,28,31,20.0,6300000.0,16/04/2022
30.0,1207,5,6,19,20,35,38,7.0,5300000.0,12/04/2022
30.0,1206,8,14,18,27,30,33,37.0,5200000.0,09/04/2022
30.0,1205,10,11,18,22,23,28,14.0,5100000.0,05/04/2022
30.0,1204,2,5,15,24,32,37,19.0,5000000.0,02/04/2022
30.0,1203,6,11,26,27,33,36,2.0,21000000.0,29/03/2022
30.0,1202,1,5,8,10,12,31,3.0,19300000.0,26/03/2022
30.0,1201,4,9,10,23,25,32,12.0,17700000.0,22/03/2022
30.0,1200,1,4,7,15,22,32,13.0,16000000.0,19/03/2022
30.0,1199,6,10,24,28,33,36,32.0,14300000.0,15/03/2022
30.0,1198,10,15,17,26,35,37,27.0,12700000.0,12/03/2022
30.0,1197,1,12,13,20,33,35,28.0,11000000.0,08/03/2022
30.0,1196,2,3,7,10,18,24,26.0,9300000.0,05/03/2022
30.0,1195,13,15,18,21,25,35,32.0,8000000.0,01/03/2022
30.0,1194,2,10,14,16,21,27,37.0,6700000.0,26/02/2022
30.0,1193,3,4,7,22,24,39,26.0,5300000.0,22/02/2022
30.0,1192,2,12,16,17,18,30,19.0,5200000.0,19/02/2022
30.0,1191,6,12,18,22,27,35,29.0,5100000.0,15/02/2022
30.0,1190,9,10,11,28,31,39,34.0,5000000.0,12/02/2022
30.0,1189,6,18,26,27,29,37,7.0,28700000.0,08/02/2022
30.0,1188,2,3,10,12,15,39,22.0,26500000.0,05/02/2022
30.0,1187,9,16,26,28,33,35,20.0,24300000.0,01/02/2022
30.0,1186,2,3,12,19,22,36,7.0,22300000.0,29/01/2022
30.0,1185,1,4,8,24,31,38,2.0,20500000.0,25/01/2022
30.0,1184,2,3,6,12,16,23,30.0,18700000.0,22/01/2022
30.0,1183,1,4,16,19,27,37,8.0,16900000.0,18/01/2022
30.0,1182,2,14,22,24,32,33,17.0,15000000.0,15/01/2022
30.0,1181,1,5,19,26,31,34,39.0,13300000.0,11/01/2022
30.0,1180,3,10,13,19,29,31,30.0,11500000.0,08/01/2022
30.0,1179,2,3,11,30,32,34,19.0,10000000.0,04/01/2022
30.0,1178,3,11,12,14,28,32,9.0,8300000.0,01/01/2022
30.0,1177,11,16,23,24,26,37,29.0,6500000.0,28/12/2021
30.0,1176,5,6,22,34,35,38,11.0,6000000.0,25/12/2021
30.0,1175,12,14,15,30,33,37,13.0,5300000.0,21/12/2021
30.0,1174,2,5,17,18,19,38,31.0,5200000.0,18/12/2021
30.0,1173,2,5,8,21,26,37,28.0,5100000.0,14/12/2021
30.0,1172,4,7,13,18,25,36,26.0,5000000.0,11/12/2021
30.0,1171,6,9,13,24,26,35,1.0,6300000.0,07/12/2021
30.0,1170,8,11,13,16,25,31,33.0,5300000.0,04/12/2021
30.0,1169,6,17,23,32,37,39,5.0,5200000.0,30/11/2021
30.0,1168,13,18,25,29,32,38,10.0,5100000.0,27/11/2021
30.0,1167,1,5,7,10,28,29,18.0,5000000.0,23/11/2021
30.0,1166,3,13,15,17,18,21,6.0,13500000.0,20/11/2021
30.0,1165,6,9,18,21,29,31,5.0,11900000.0,16/11/2021
30.0,1164,1,7,15,30,31,34,14.0,10300000.0,13/11/2021
30.0,1163,9,18,22,23,36,37,38.0,8700000.0,09/11/2021
30.0,1162,2,12,17,28,34,39,26.0,7000000.0,06/11/2021
30.0,1161,2,9,23,32,33,35,4.0,5400000.0,02/11/2021
30.0,1160,4,15,17,19,22,37,23.0,5300000.0,30/10/2021
30.0,1159,13,21,23,29,30,35,19.0,5200000.0,26/10/2021
30.0,1158,1,3,25,27,37,39,12.0,5100000.0,23/10/2021
30.0,1157,15,23,26,31,35,37,25.0,5000000.0,19/10/2021
30.0,1156,3,5,14,20,22,39,1.0,5300000.0,16/10/2021
30.0,1155,13,17,21,22,28,33,26.0,5200000.0,12/10/2021
30.0,1154,12,13,16,26,30,33,25.0,5100000.0,09/10/2021
30.0,1153,1,5,13,21,30,35,27.0,5000000.0,05/10/2021
30.0,1152,6,10,12,13,20,35,9.0,10300000.0,02/10/2021
30.0,1151,3,4,12,19,23,37,18.0,9000000.0,28/09/2021
30.0,1150,7,14,21,24,34,36,25.0,7500000.0,25/09/2021
30.0,1149,13,17,25,28,38,39,23.0,6300000.0,21/09/2021
30.0,1148,1,8,21,22,34,37,31.0,5300000.0,18/09/2021
30.0,1147,11,18,25,27,31,39,36.0,5200000.0,14/09/2021
30.0,1146,1,4,7,10,28,29,16.0,5100000.0,11/09/2021
30.0,1145,10,11,26,35,38,39,5.0,5000000.0,07/09/2021
30.0,1144,2,4,14,26,30,37,23.0,5200000.0,04/09/2021
30.0,1143,2,7,21,31,37,39,4.0,5100000.0,31/08/2021
30.0,1142,1,6,10,24,28,31,36.0,5000000.0,28/08/2021
30.0,1141,1,3,9,21,24,33,30.0,9000000.0,24/08/2021
30.0,1140,1,3,14,18,31,34,5.0,7300000.0,21/08/2021
30.0,1139,10,28,29,30,31,39,1.0,5700000.0,17/08/2021
30.0,1138,4,11,14,21,27,30,24.0,5300000.0,14/08/2021
30.0,1137,1,3,21,23,35,37,10.0,5200000.0,10/08/2021
30.0,1136,14,17,25,32,37,39,15.0,5100000.0,07/08/2021
30.0,1135,1,3,9,22,24,27,29.0,5000000.0,03/08/2021
30.0,1134,5,6,8,26,29,39,15.0,5000000.0,31/07/2021
30.0,1133,2,4,15,22,31,38,24.0,5300000.0,27/07/2021
30.0,1132,3,27,31,32,34,38,20.0,5200000.0,24/07/2021
30.0,1131,2,3,4,6,16,37,12.0,5100000.0,20/07/2021
30.0,1130,2,18,26,28,32,37,24.0,5000000.0,17/07/2021
30.0,1129,2,9,20,21,27,37,17.0,5200000.0,13/07/2021
30.0,1128,4,12,20,35,36,38,8.0,5100000.0,10/07/2021
30.0,1127,4,7,17,23,29,37,36.0,5000000.0,06/07/2021
30.0,1126,1,3,24,29,33,38,36.0,18000000.0,03/07/2021
30.0,1125,8,14,17,29,31,34,37.0,16500000.0,29/06/2021
30.0,1124,2,7,20,24,32,33,3.0,14700000.0,26/06/2021
30.0,1123,12,17,31,36,37,39,25.0,13300000.0,22/06/2021
30.0,1122,9,17,20,30,31,38,26.0,11700000.0,19/06/2021
30.0,1121,3,20,25,28,34,38,35.0,10000000.0,15/06/2021
30.0,1120,3,11,15,24,29,38,28.0,8700000.0,12/06/2021
30.0,1119,3,10,14,19,29,36,35.0,7500000.0,08/06/2021
30.0,1118,10,12,13,14,30,39,23.0,6000000.0,05/06/2021
30.0,1117,6,14,15,19,25,31,11.0,5300000.0,01/06/2021
30.0,1116,1,11,18,23,31,39,17.0,5200000.0,29/05/2021
30.0,1115,7,10,17,20,29,31,8.0,5100000.0,25/05/2021
30.0,1114,3,10,17,25,29,37,6.0,5000000.0,22/05/2021
30.0,1113,9,20,28,34,38,39,1.0,7300000.0,18/05/2021
30.0,1112,11,18,26,35,36,39,23.0,5900000.0,15/05/2021
30.0,1111,12,18,21,33,35,37,39.0,5300000.0,11/05/2021
30.0,1110,6,11,25,27,31,38,13.0,5200000.0,08/05/2021
30.0,1109,6,15,26,32,35,39,11.0,5100000.0,04/05/2021
30.0,1108,23,28,29,30,32,38,33.0,5000000.0,01/05/2021
30.0,1107,5,7,8,12,27,31,14.0,5000000.0,27/04/2021
30.0,1106,14,17,25,29,36,38,33.0,5100000.0,24/04/2021
30.0,1105,1,8,10,17,22,28,16.0,5000000.0,20/04/2021
30.0,1104,11,27,29,34,35,37,3.0,21000000.0,17/04/2021
30.0,1103,13,22,25,28,35,36,33.0,19300000.0,13/04/2021
30.0,1102,6,7,10,12,17,18,3.0,17700000.0,10/04/2021
30.0,1101,3,6,9,28,29,30,15.0,16000000.0,06/04/2021
30.0,1100,3,25,28,30,33,36,24.0,14400000.0,03/04/2021
30.0,1099,5,7,9,13,19,31,17.0,13100000.0,30/03/2021
30.0,1098,8,11,18,23,24,30,20.0,11700000.0,27/03/2021
30.0,1097,1,9,10,13,24,34,39.0,10300000.0,23/03/2021
30.0,1096,3,6,7,22,30,35,14.0,8800000.0,20/03/2021
30.0,1095,6,8,9,12,33,38,30.0,7500000.0,16/03/2021
30.0,1094,9,10,22,25,31,36,35.0,6000000.0,13/03/2021
30.0,1093,7,8,12,31,32,39,13.0,5300000.0,09/03/2021
30.0,1092,5,12,16,27,34,39,36.0,5200000.0,06/03/2021
30.0,1091,4,8,15,23,27,30,36.0,5100000.0,02/03/2021
30.0,1090,18,20,32,33,34,37,7.0,5000000.0,27/02/2021
30.0,1089,8,11,15,27,29,38,28.0,22300000.0,23/02/2021
30.0,1088,5,7,16,25,27,31,10.0,20500000.0,20/02/2021
30.0,1087,11,12,23,25,29,30,27.0,19000000.0,16/02/2021
30.0,1086,15,20,21,28,37,39,36.0,17300000.0,13/02/2021
30.0,1085,9,17,21,25,31,38,19.0,15800000.0,09/02/2021
30.0,1084,2,8,16,19,37,39,36.0,14000000.0,06/02/2021
30.0,1083,3,4,15,16,28,35,5.0,12700000.0,02/02/2021
30.0,1082,6,10,12,20,27,31,36.0,11000000.0,30/01/2021
30.0,1081,8,24,29,31,32,33,27.0,9700000.0,26/01/2021
30.0,1080,16,18,24,34,35,36,21.0,8300000.0,23/01/2021
30.0,1079,3,10,27,32,35,36,16.0,7000000.0,19/01/2021
30.0,1078,6,15,22,23,30,38,19.0,5800000.0,16/01/2021
30.0,1077,11,17,19,20,27,29,24.0,5300000.0,12/01/2021
30.0,1076,10,20,27,31,34,35,7.0,5200000.0,09/01/2021
30.0,1075,7,13,21,23,24,31,22.0,5100000.0,05/01/2021
30.0,1074,3,10,20,26,32,37,36.0,5000000.0,02/01/2021
30.0,1073,10,11,27,29,31,36,23.0,5000000.0,29/12/2020
30.0,1072,1,4,16,17,19,38,36.0,7000000.0,26/12/2020
30.0,1071,4,16,20,28,33,35,37.0,5900000.0,22/12/2020
30.0,1070,7,9,23,30,33,38,3.0,5300000.0,19/12/2020
30.0,1069,13,14,21,28,36,39,23.0,5200000.0,15/12/2020
30.0,1068,6,11,23,31,32,35,24.0,5100000.0,12/12/2020
30.0,1067,15,19,27,34,38,39,3.0,5000000.0,08/12/2020
30.0,1066,1,3,12,23,29,30,14.0,11600000.0,05/12/2020
30.0,1065,5,6,17,20,30,37,15.0,10300000.0,01/12/2020
30.0,1064,3,8,10,11,25,39,38.0,8900000.0,28/11/2020
30.0,1063,1,3,4,20,22,33,23.0,7700000.0,24/11/2020
30.0,1062,3,4,6,8,30,31,22.0,6500000.0,21/11/2020
30.0,1061,3,13,17,31,33,38,24.0,5500000.0,17/11/2020
30.0,1060,4,10,17,30,31,39,8.0,5300000.0,14/11/2020
30.0,1059,4,8,16,19,25,27,3.0,5200000.0,10/11/2020
30.0,1058,6,7,17,19,21,31,16.0,5100000.0,07/11/2020
30.0,1057,2,10,15,21,28,31,5.0,5000000.0,03/11/2020
30.0,1056,7,8,11,27,34,39,32.0,5000000.0,31/10/2020
30.0,1055,2,6,24,33,35,36,37.0,5200000.0,27/10/2020
30.0,1054,6,9,22,25,32,36,19.0,5100000.0,24/10/2020
30.0,1053,2,5,9,13,19,31,35.0,5000000.0,20/10/2020
30.0,1052,3,4,21,22,24,37,16.0,12000000.0,17/10/2020
30.0,1051,12,19,23,27,34,37,20.0,10800000.0,13/10/2020
30.0,1050,4,7,8,15,20,23,25.0,9500000.0,10/10/2020
30.0,1049,4,9,18,29,30,38,21.0,8300000.0,06/10/2020
30.0,1048,1,13,19,35,36,38,21.0,7100000.0,03/10/2020
30.0,1047,1,13,15,17,25,37,7.0,6000000.0,29/09/2020
30.0,1046,2,6,7,12,18,29,25.0,5400000.0,26/09/2020
30.0,1045,4,8,12,13,14,29,26.0,5300000.0,22/09/2020
30.0,1044,18,19,28,29,32,37,25.0,5200000.0,19/09/2020
30.0,1043,4,11,13,17,28,38,25.0,5100000.0,15/09/2020
30.0,1042,3,17,20,25,35,39,8.0,5000000.0,12/09/2020
30.0,1041,10,12,23,27,33,36,26.0,5400000.0,08/09/2020
30.0,1040,16,21,26,28,31,34,11.0,5300000.0,05/09/2020
30.0,1039,8,12,15,20,23,35,1.0,5200000.0,01/09/2020
30.0,1038,1,10,18,19,27,34,36.0,5100000.0,29/08/2020
30.0,1037,2,6,11,27,32,37,17.0,5000000.0,25/08/2020
30.0,1036,3,4,31,32,34,36,13.0,13000000.0,22/08/2020
30.0,1035,4,8,16,22,27,33,18.0,11900000.0,18/08/2020
30.0,1034,6,10,11,17,20,33,15.0,10800000.0,15/08/2020
30.0,1033,3,13,18,20,26,32,22.0,9800000.0,11/08/2020
30.0,1032,11,20,22,25,31,38,4.0,8600000.0,08/08/2020
30.0,1031,2,7,8,11,27,30,24.0,7600000.0,04/08/2020
30.0,1030,12,13,20,25,26,27,24.0,6600000.0,01/08/2020
30.0,1029,1,2,3,5,13,16,6.0,5900000.0,28/07/2020
30.0,1028,10,19,20,21,24,25,39.0,5800000.0,25/07/2020
30.0,1027,1,4,9,21,24,25,34.0,5700000.0,31/03/2020
30.0,1026,5,14,22,25,35,39,27.0,5300000.0,28/03/2020
30.0,1025,12,13,20,25,26,35,38.0,5200000.0,24/03/2020
30.0,1024,3,18,19,22,26,32,5.0,5100000.0,21/03/2020
30.0,1023,4,7,11,23,25,33,20.0,5000000.0,17/03/2020
30.0,1022,9,18,32,37,38,39,13.0,5000000.0,14/03/2020
30.0,1021,9,21,30,32,34,35,14.0,10300000.0,10/03/2020
30.0,1020,4,7,23,31,33,35,29.0,8900000.0,07/03/2020
30.0,1019,11,14,17,18,24,29,15.0,7500000.0,03/03/2020
30.0,1018,7,16,18,22,25,26,19.0,6200000.0,29/02/2020
30.0,1017,1,6,9,13,15,19,35.0,5300000.0,25/02/2020
30.0,1016,4,5,16,29,31,32,6.0,5200000.0,22/02/2020
30.0,1015,7,13,21,25,30,33,24.0,5100000.0,18/02/2020
30.0,1014,3,15,20,22,26,29,33.0,5000000.0,15/02/2020
30.0,1013,1,9,14,27,30,37,26.0,9400000.0,11/02/2020
30.0,1012,2,5,7,10,21,39,29.0,7900000.0,08/02/2020
30.0,1011,10,12,16,23,26,30,32.0,6600000.0,04/02/2020
30.0,1010,19,23,26,31,35,36,24.0,5300000.0,01/02/2020
30.0,1009,1,5,12,24,29,37,10.0,5200000.0,28/01/2020
30.0,1008,24,30,34,37,38,39,23.0,5100000.0,25/01/2020
30.0,1007,4,16,26,28,31,33,2.0,5000000.0,21/01/2020
30.0,1006,3,10,18,21,26,27,28.0,5400000.0,18/01/2020
30.0,1005,4,14,15,21,28,37,32.0,5200000.0,14/01/2020
30.0,1004,4,11,24,25,26,39,20.0,5100000.0,11/01/2020
30.0,1003,2,4,10,28,33,39,3.0,5000000.0,07/01/2020
30.0,1002,13,14,21,30,31,33,22.0,36900000.0,04/01/2020
30.0,1001,10,14,16,29,33,35,31.0,35000000.0,31/12/2019
30.0,1000,2,4,5,14,34,39,36.0,32900000.0,28/12/2019
30.0,999,15,26,34,37,38,39,10.0,31400000.0,24/12/2019
30.0,998,6,10,11,26,27,29,21.0,29600000.0,21/12/2019
30.0,997,1,8,13,14,20,28,19.0,27800000.0,17/12/2019
30.0,996,5,12,14,32,34,39,19.0,25900000.0,14/12/2019
30.0,995,8,10,11,15,25,38,29.0,24200000.0,10/12/2019
30.0,994,3,7,14,19,22,38,33.0,22400000.0,07/12/2019
30.0,993,1,4,11,12,27,36,24.0,20800000.0,03/12/2019
30.0,992,1,2,3,6,18,34,11.0,19000000.0,30/11/2019
30.0,991,6,19,22,27,37,38,2.0,17400000.0,26/11/2019
30.0,990,2,8,13,27,36,37,3.0,16000000.0,23/11/2019
30.0,989,7,8,11,26,36,38,3.0,14500000.0,19/11/2019
30.0,988,1,4,7,23,25,27,8.0,12800000.0,16/11/2019
30.0,987,2,4,11,14,22,33,21.0,11500000.0,12/11/2019
30.0,986,1,17,25,30,32,33,21.0,10000000.0,09/11/2019
30.0,985,7,9,13,17,24,34,26.0,8600000.0,05/11/2019
30.0,984,4,5,10,15,26,27,7.0,7400000.0,02/11/2019
30.0,983,1,11,13,28,33,36,2.0,6400000.0,29/10/2019
30.0,982,2,4,8,10,14,16,30.0,5300000.0,26/10/2019
30.0,981,6,9,21,25,31,35,4.0,5200000.0,22/10/2019
30.0,980,1,9,12,15,33,34,23.0,5100000.0,19/10/2019
30.0,979,4,15,17,18,23,36,13.0,5000000.0,15/10/2019
30.0,978,18,19,28,29,31,33,27.0,52000000.0,12/10/2019
30.0,977,8,10,13,15,32,34,37.0,49900000.0,08/10/2019
30.0,976,5,7,10,11,27,30,16.0,47900000.0,05/10/2019
30.0,975,3,10,14,23,26,33,13.0,45800000.0,01/10/2019
30.0,974,12,14,18,22,23,30,31.0,43600000.0,28/09/2019
30.0,973,1,10,12,18,20,24,34.0,41500000.0,24/09/2019
30.0,972,3,10,13,18,26,34,33.0,39500000.0,21/09/2019
30.0,971,3,12,13,17,25,37,10.0,37900000.0,17/09/2019
30.0,970,5,17,20,28,30,36,25.0,35900000.0,14/09/2019
30.0,969,17,22,26,27,36,38,39.0,34200000.0,10/09/2019
30.0,968,6,21,22,30,32,38,8.0,32400000.0,07/09/2019
30.0,967,1,15,33,35,38,39,32.0,30500000.0,03/09/2019
30.0,966,2,8,15,30,32,37,31.0,28500000.0,31/08/2019
30.0,965,1,9,11,14,20,22,7.0,27000000.0,27/08/2019
30.0,964,5,6,12,16,36,37,26.0,25500000.0,24/08/2019
30.0,963,16,17,19,25,26,37,30.0,23900000.0,20/08/2019
30.0,962,5,6,27,29,34,35,26.0,22300000.0,17/08/2019
30.0,961,7,8,15,25,31,35,11.0,20700000.0,13/08/2019
30.0,960,9,14,17,30,36,37,11.0,19200000.0,10/08/2019
30.0,959,4,6,7,15,16,25,34.0,17800000.0,06/08/2019
30.0,958,8,10,17,18,36,39,33.0,16000000.0,03/08/2019
30.0,957,23,24,25,26,28,30,19.0,14800000.0,30/07/2019
30.0,956,13,15,26,32,38,39,9.0,13400000.0,27/07/2019
30.0,955,2,7,14,15,30,36,28.0,12200000.0,23/07/2019
30.0,954,3,11,21,23,24,38,35.0,10800000.0,20/07/2019
30.0,953,20,26,29,31,37,38,22.0,9400000.0,16/07/2019
30.0,952,1,4,10,26,27,33,7.0,8000000.0,13/07/2019
30.0,951,1,3,4,12,17,32,16.0,7000000.0,09/07/2019
30.0,950,7,12,17,21,24,37,14.0,5800000.0,06/07/2019
30.0,949,17,20,22,24,29,31,11.0,5300000.0,02/07/2019
30.0,948,1,8,12,17,18,23,31.0,5200000.0,29/06/2019
30.0,947,4,6,9,16,27,33,24.0,5100000.0,25/06/2019
30.0,946,6,8,18,21,23,32,4.0,5000000.0,22/06/2019
30.0,945,1,8,23,24,29,37,38.0,5300000.0,18/06/2019
30.0,944,2,25,27,31,33,38,9.0,5200000.0,15/06/2019
30.0,943,4,6,11,23,28,35,22.0,5100000.0,11/06/2019
30.0,942,2,3,6,9,21,34,31.0,5000000.0,08/06/2019
30.0,941,1,7,12,25,29,35,15.0,5000000.0,04/06/2019
30.0,940,2,7,14,19,24,37,5.0,5200000.0,01/06/2019
30.0,939,5,13,21,22,23,36,8.0,5100000.0,28/05/2019
30.0,938,3,6,17,24,25,33,5.0,5000000.0,25/05/2019
30.0,937,8,10,14,22,29,36,7.0,21800000.0,21/05/2019
30.0,936,2,4,11,22,26,35,31.0,20200000.0,18/05/2019
30.0,935,8,22,23,24,35,37,17.0,18800000.0,14/05/2019
30.0,934,8,9,11,16,21,32,31.0,17400000.0,11/05/2019
30.0,933,2,6,11,26,37,38,21.0,16000000.0,07/05/2019
30.0,932,12,13,26,29,35,39,15.0,14600000.0,04/05/2019
